"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774435417007538549","Sun Mar 31 21:14:01 +0000 2024","0","@psi_id Maksud orang2 @psi_id ini TUA RONGSOK membahyakan penumpang itu ke pak prabowo?","1774545708550705184","","psi_id","in","","0","0","0","https://x.com/Andi_Rubby/status/1774545708550705184","1604113772963979265","Andi_Rubby"
"1772970945629614344","Sun Mar 31 21:13:51 +0000 2024","0","@icikiwir_08 @aniesbaswedan @ganjarpranowo @KPK_RI Hei yg jelas babu itu @prabowo udah kalah mau aja jd babu @jokowi......","1774545669384237330","","romoatheist","in","","0","0","0","https://x.com/Darminto55Anto/status/1774545669384237330","338800280","Darminto55Anto"
"1774485206919188929","Sun Mar 31 21:12:54 +0000 2024","1","@H4T14K4LN4L42 @officialMKRI @KPU_ID @prabowo Mendagri ikut bermain? Untungnya keturunan : #YamanGakKorupsi #YamanGakKorupsi","1774545427704242446","","H4T14K4LN4L42","in","Banten Raya, Indonesia","0","0","0","https://x.com/KacungCh1/status/1774545427704242446","1761808210561056768","KacungCh1"
"1774545362268917915","Sun Mar 31 21:12:38 +0000 2024","0","Inilah contoh pendukung Prabowo... https://t.co/rQGtunMkvM","1774545362268917915","https://pbs.twimg.com/ext_tw_video_thumb/1774545325614919680/pu/img/rfv0nCfq_JxbXzcr.jpg","","in","","0","1","0","https://x.com/PutraMelay6837/status/1774545362268917915","1722218525522300928","PutraMelay6837"
"1774216561274101870","Sun Mar 31 21:12:35 +0000 2024","0","@xquitavee @prabowo ki cerdase melewati wong seng ipkne 2.3 @FafaNaufal","1774545348087959650","","xquitavee","in","Kumamoto-shi, Kumamoto","0","1","0","https://x.com/nizamsdq/status/1774545348087959650","1077911428961492992","nizamsdq"
"1774216561274101870","Sun Mar 31 21:12:13 +0000 2024","0","@xquitavee @prabowo Fitnah nih dgn narasi berita..padahal kepala berita ada tanda tanya (?) pantes aja pendukung 02 IQ nya 78 alias dibawah goblok belom banget","1774545259240030687","","xquitavee","in","","0","0","0","https://x.com/AcilBurman/status/1774545259240030687","1534410359561666560","AcilBurman"
"1774082824980799635","Sun Mar 31 21:12:11 +0000 2024","2","@frans_pra @99propaganda Padahal jelas ada pelanggaran berat kode etik konstitusi meloloskan samsul usia prabowo pun melewati batas usia capres tapi dilanggar dan para pengacara yg katanya hebat dan mahal malah seperti BODOH DUNGU agar dapat uang aja ya kan yg bener aja rugi donkkkk","1774545247357505835","","frans_pra","in","","0","2","0","https://x.com/brammuara82/status/1774545247357505835","1489075530729091072","brammuara82"
"1774428783279493504","Sun Mar 31 21:11:49 +0000 2024","0","@Ngadinopanser @realfedinuril Orang seperti sampean ini mau dikasih banyak fakta juga gak akan kelihatan juga. Tes pertama tanya diri sendiri bisa enggak melihat prestasi pak Jokowi/pak Prabowo. Tes kedua ikut seneng/bangga enggak Pak jokowi/Pak Prabowo lagi ada prestasi.","1774545158518030387","","Ngadinopanser","in","","1","4","0","https://x.com/jatmiko99604253/status/1774545158518030387","1604383996062105601","jatmiko99604253"
"1774216561274101870","Sun Mar 31 21:11:48 +0000 2024","1","@prikiti71422328 @xquitavee @prabowo kok ada orang setolol lo","1774545152453034398","","prikiti71422328","in","do not follow first 🐈","0","0","0","https://x.com/68JJK/status/1774545152453034398","1341611751486341120","68JJK"
"1774384621498855541","Sun Mar 31 21:10:53 +0000 2024","0","@timpenguinnas @Gamal_Albinsaid Kagum dg beliau saat jd timses pak Prabowo tahun 2019","1774544921179074916","","timpenguinnas","in","East Java, Indonesia","0","0","0","https://x.com/vjromie/status/1774544921179074916","629454240","vjromie"
"1774544576763813990","Sun Mar 31 21:09:31 +0000 2024","0","Inginnya @cakimiNOW Pilpres Ulangan 2029.","1774544576763813990","","","in","Indonesia","0","0","0","https://x.com/insanisyah1/status/1774544576763813990","1461644341139496965","insanisyah1"
"1773260574186438835","Sun Mar 31 21:09:07 +0000 2024","0","@Ssiiiuukk @yunitaterry3 Lah terus video si miftah yang bilang kami memilih prabowo jalan kami ke surga semakin mudah (cmiiw) itu apaan? Mau jd tuhan apa gmn bullshit kalo blg gausah bawa2 agama heh paslon elu juga bawa2 agama memanglah agama itu gaada pernah terlepas dr aktivitas kita","1774544475601383752","","Ssiiiuukk","in","","0","2","0","https://x.com/ourliveea/status/1774544475601383752","1660669156331786242","ourliveea"
"1774544233074135264","Sun Mar 31 21:08:09 +0000 2024","0","Tentu Pintu terbuka @DPP_PKB tapi kenyataannya tepuk sebelah tangan.","1774544233074135264","","","in","Indonesia","2","0","0","https://x.com/insanisyah1/status/1774544233074135264","1461644341139496965","insanisyah1"
"1774224238624530719","Sun Mar 31 21:07:41 +0000 2024","2","@awleg_ Bicah iki lahire po seko silit?! Okeh hiburan sik luwih jos kok malah golek memolo. Gawean muk turaturu wae. Ono gitar kui yo iso go hiburan su!","1774544118431313950","","awleg_","in","","0","0","0","https://x.com/IndoMeals/status/1774544118431313950","2862528439","IndoMeals"
"1774540783271694638","Sun Mar 31 20:54:26 +0000 2024","0","Terbuat dari Bambu tapi Telan Dana hingga Rp550 Juta Karya Seni Ide Anies Baswedan Ini Cuma Bertahan 11 Bulan. Karya seni yg terlihat kumuh tapi mahal.... Malah mencela IKN dan mau membatalkan IKN.... Untunglah @prabowo yg menang dan IKN berlanjut. https://t.co/lArYGC28HF","1774540783271694638","","","in","","0","1","0","https://x.com/jari_droid/status/1774540783271694638","1486631613932834819","jari_droid"
"1774216561274101870","Sun Mar 31 20:53:35 +0000 2024","13","@RafifNaufalB @xquitavee @prabowo Bener ternyata syarat utk jadi oendukun 02 harus punya KBI Kartu Bodoh Indonesia","1774540569576186265","","RafifNaufalB","in","","0","0","0","https://x.com/moonknight_myb/status/1774540569576186265","1191002501438271488","moonknight_myb"
"1774404981778698736","Sun Mar 31 20:53:12 +0000 2024","0","@DrEvaChaniago Mereka lebih bisa menerima pembunuhan hewan daripada penyembelihan secara syari","1774540471462932913","","DrEvaChaniago","in","Citayem California ","0","0","0","https://x.com/JHPrabowo/status/1774540471462932913","158912165","JHPrabowo"
"1774371317082628496","Sun Mar 31 20:51:57 +0000 2024","0","@vaniepink Bikin pesantren yatim Hafidz Al Quran Gratis..","1774540156344873109","","vaniepink","in","Citayem California ","0","0","0","https://x.com/JHPrabowo/status/1774540156344873109","158912165","JHPrabowo"
